Date;Price
2012-10-25;596200
2012-10-29;597200
2012-10-30;595200
2012-10-31;596200
2012-11-01;599200
2012-11-02;599200
2012-11-05;594200
2012-11-06;594200
2012-11-07;598200
2012-11-07;602200
2012-11-08;602200
2012-11-09;605200
2012-11-12;606200
2012-11-13;602000
2012-11-13;602200
2012-11-14;602200
2012-11-19;599200
2012-11-20;602200
2012-11-21;602200
2012-11-22;602200
2012-11-23;602200
2012-11-26;606200
2012-11-27;606200
2012-11-28;604200
2012-11-29;598200
2012-11-30;601200
2012-12-03;600200
2012-12-04;600200
2012-12-05;597200
2012-12-06;597200
2012-12-07;599200
2012-12-10;602200
2012-12-11;604200
2012-12-12;604200
2012-12-13;604200
2012-12-14;599200
2012-12-17;601200
2012-12-18;602200
2012-12-19;598200
2012-12-20;597200
2012-12-21;591200
2012-12-26;598200
2012-12-27;601200
2012-12-28;604200
2013-01-02;599200
2013-01-03;605200
2013-01-04;597200
2013-01-07;601200
2013-01-08;598200
2013-01-09;600200
2013-01-10;597200
2013-01-11;599200
2013-01-14;598200
2013-01-15;600200
2013-01-16;606200
2013-01-17;603200
2013-01-18;604200
2013-01-21;604200
2013-01-22;604200
2013-01-23;603200
2013-01-25;600200
2013-01-28;599200
2013-01-29;599200
2013-01-30;601200
2013-01-31;603200
2013-02-01;599200
2013-02-04;599200
2013-02-05;599200
2013-02-05;599200
2013-02-06;599200
2013-02-07;600200
2013-02-08;600200
2013-02-11;596200
2013-02-12;591200
2013-02-13;592200
2013-02-14;591200
2013-02-15;590200
2013-02-18;588200
2013-02-19;588200
2013-02-20;587200
2013-02-21;581200
2013-02-22;582200
2013-02-25;585200
2013-02-26;587200
2013-02-27;592200
2013-02-28;590200
2013-03-01;586200
2013-03-04;586200
2013-03-05;586200
2013-03-06;586200
2013-03-07;586200
2013-03-08;586200
2013-03-11;584200
2013-03-13;585200
2013-03-14;584000
2013-03-15;584000
2013-03-18;581000
2013-03-19;582000
2013-03-20;583000
2013-03-21;581000
2013-03-22;582000
2013-03-25;579000
2013-03-26;577000
2013-03-27;577000
2013-03-28;577000
2013-04-01;574000
2013-04-02;574000
2013-04-03;571000
2013-04-04;569000
2013-04-05;566000
2013-04-08;569000
2013-04-09;567000
2013-04-10;568000
2013-04-11;564000
2013-04-12;565000
2013-04-15;563000
2013-04-16;561000
2013-04-17;561000
2013-04-18;561000
2013-04-19;561000
2013-04-22;551000
2013-04-23;555000
2013-04-24;555000
2013-04-25;557000
2013-04-26;557000
2013-04-29;553000
2013-04-30;553000
2013-05-01;552000
2013-05-02;550000
2013-05-03;551000
2013-05-06;552000
2013-05-07;551000
2013-05-08;549000
2013-05-10;549000
2013-05-13;545000
2013-05-14;543000
2013-05-15;539000
2013-05-16;537000
2013-05-17;532000
2013-05-20;532000
2013-05-21;533000
2013-05-22;533000
2013-05-23;533000
2013-05-24;536000
2013-05-27;536000
2013-05-28;536000
2013-05-29;535000
2013-05-30;538000
2013-05-31;539000
2013-06-03;538000
2013-06-04;541000
2013-06-05;539000
2013-06-07;542000
2013-06-10;533000
2013-06-11;533000
2013-06-12;533000
2013-06-13;533000
2013-06-14;533000
2013-06-17;533000
2013-06-18;533000
2013-06-19;532000
2013-06-20;528000
2013-06-21;521000
2013-06-24;522000
2013-06-25;518000
2013-06-26;518000
2013-06-27;513000
2013-06-28;513000
2013-07-01;513000
2013-07-02;514000
2013-07-03;514000
2013-07-04;515000
2013-07-05;514000
2013-07-08;512000
2013-07-09;512000
2013-07-10;513000
2013-07-11;516000
2013-07-12;516000
2013-07-15;516000
2013-07-16;516000
2013-07-17;516000
2013-07-18;514000
2013-07-19;515000
2013-07-22;521000
2013-07-23;525000
2013-07-24;526000
2013-07-25;522000
2013-07-26;525000
2013-07-29;523000
2013-07-30;523000
2013-07-31;523000
2013-08-01;523000
2013-08-02;520000
2013-08-12;524000
2013-08-13;524000
2013-08-14;524000
2013-08-15;525000
2013-08-16;532000
2013-08-19;541000
2013-08-20;540000
2013-08-21;542000
2013-08-22;550000
2013-08-23;559000
2013-08-26;564000
2013-08-27;564000
2013-08-28;575000
2013-08-28;580000
2013-08-29;593000
2013-08-30;578000
2013-09-02;571000
2013-09-03;575000
2013-09-04;583000
2013-09-05;579000
2013-09-06;570000
2013-09-09;581000
2013-09-10;578000
2013-09-11;565000
2013-09-12;572000
2013-09-13;559000
2013-09-16;552000
2013-09-17;547000
2013-09-18;545000
2013-09-19;569000
2013-09-20;558000
2013-09-23;549000
2013-09-24;554000
2013-09-25;554000
2013-09-26;558000
2013-09-27;555000
2013-09-30;559000
2013-10-01;558000
2013-10-02;550000
2013-10-03;555000
2013-10-04;555000
2013-10-07;554000
